epoch,train_loss,train_acc,val_loss,val_acc
1,0.462781647272408,0.8299791666666667,0.34854335522651675,0.8705
2,0.28318251721312604,0.8982916666666667,0.265760218779246,0.9060833333333334
3,0.23823716222991545,0.9125208333333333,0.24568876726428668,0.9131666666666667
4,0.20536256625503302,0.9256041666666667,0.23681908152997494,0.9158333333333334
5,0.17667831004100543,0.9346041666666667,0.22645990891257922,0.9185
6,0.15057271934238572,0.9451666666666667,0.21089314854393404,0.9259166666666667
7,0.12020868956825385,0.9565208333333334,0.22006484894625222,0.9250833333333334
8,0.09783693291122715,0.964375,0.24996810985480747,0.9236666666666666
9,0.07467387928247142,0.9729375,0.2630757114055256,0.9288333333333333
10,0.05745927789386284,0.9781666666666666,0.2900268519980212,0.9223333333333333
