epoch,train_loss,train_acc,val_loss,val_acc
1,0.6664158393094937,0.74225,0.34148828095197675,0.8725
2,0.356103037327528,0.8663125,0.29655059457818667,0.888
3,0.3019016848107179,0.8869791666666667,0.2816823917130629,0.8959166666666667
4,0.2646787543743849,0.9013333333333333,0.2449379781782627,0.9086666666666666
5,0.23962796312073867,0.9099583333333333,0.26073796263337135,0.9051666666666667
6,0.22131360812236867,0.9182708333333334,0.23117049487928548,0.9183333333333333
7,0.2044598996868978,0.9240833333333334,0.23965917242566745,0.91475
8,0.1909732190227757,0.9275833333333333,0.23388961897293728,0.9174166666666667
9,0.1789502900969237,0.9327708333333333,0.23791954397161802,0.9139166666666667
10,0.16660474354571972,0.9376458333333333,0.21105218482017518,0.929
