epoch,train_loss,train_acc,val_loss,val_acc
1,0.6105927688926458,0.7906041666666667,0.33250971339146296,0.8695
2,0.339376298494637,0.8744583333333333,0.3120973901748657,0.882
3,0.30380426148325207,0.8866666666666667,0.27205019050339857,0.8955
4,0.2770670355670154,0.8960208333333334,0.2567161922454834,0.9033333333333333
5,0.27083701169614993,0.8992708333333334,0.2522449381550153,0.9055
6,0.2412729077860713,0.9103333333333333,0.2490923276245594,0.9068333333333334
7,0.2297077490258962,0.9148333333333334,0.2573013921380043,0.9093333333333333
8,0.22637896683067082,0.9178958333333334,0.28093710203468797,0.89975
9,0.20850416999869048,0.9235625,0.23736234928667546,0.9115833333333333
10,0.2001100087358306,0.9265,0.28642133714507023,0.9121666666666667
