epoch,train_loss,train_acc,val_loss,val_acc
1,1.3379874243736267,0.5638188011335239,2.2037966334025065,0.393
2,0.9721142654418945,0.721567473994898,1.857961289723714,0.528
3,0.8618815266291301,0.7717400148431577,1.308296781539917,0.6834166666666667
4,0.8457032196124394,0.7812276343917703,0.9602502562204996,0.773
5,0.8069921711285909,0.799402624697006,0.73689697265625,0.8393333333333334
6,0.7512945685784022,0.8172190078870284,0.7736097350120544,0.8128333333333333
7,0.7510993806918462,0.8186281026437573,0.604432480653127,0.8683333333333333
8,0.7217860310872396,0.8308990573245584,0.5590481166839599,0.8865
9,0.6853380946318308,0.8435901669682664,0.5325758847395579,0.896
10,0.6937885233561198,0.8416340201197412,0.5049716045061747,0.90725
11,0.678568443497022,0.8446530008966256,0.49581907025973004,0.91025
12,0.6785974411964416,0.84622522995678,0.4888530370394389,0.9141666666666667
13,0.6731306099891663,0.8476328913275062,0.480483779668808,0.9185
14,0.646370852748553,0.858402899995003,0.470546746412913,0.92225
15,0.6343907064994176,0.862250655913563,0.4660757791201274,0.9246666666666666
16,0.634545978029569,0.862668832305877,0.45897590335210164,0.9269166666666667
17,0.6296521373589834,0.8646718718604627,0.45689042639732363,0.92825
18,0.6270179562171301,0.8644242239334369,0.44969451713562014,0.9316666666666666
19,0.616130142490069,0.8694377739153806,0.4543035753568013,0.9335833333333333
20,0.5977049163977305,0.8763909253459823,0.44400373395284015,0.9350833333333334
21,0.6257307098706564,0.8646486911846232,0.4412426110903422,0.936
22,0.5928635912736256,0.8786639122544126,0.43749431999524435,0.9381666666666667
23,0.5894689084688822,0.8798776861540019,0.4669684581756592,0.93625
24,0.5870730217297871,0.8812011218344414,0.4555764362017314,0.9371666666666667
25,0.586320804754893,0.8815345114397748,0.43525918277104697,0.9374166666666667
26,0.5814438858429591,0.8827087445140026,0.434523145198822,0.93925
27,0.5794359186093012,0.8833281187914833,0.43744859075546266,0.9401666666666667
28,0.5609553495645523,0.8911354672721205,0.4348446052074432,0.9401666666666667
29,0.5660425592263539,0.888734675221227,0.43738327741622923,0.942
30,0.566319978872935,0.8894505855843579,0.4303592176437378,0.94325
31,0.5427082763115565,0.8963047591561693,0.44376752511660256,0.94075
32,0.5547353182236353,0.8910481110741035,0.42506276432673135,0.9435833333333333
33,0.5492431574265162,0.894711045447965,0.42564723173777264,0.9426666666666667
34,0.5334551163911819,0.9008007154747036,0.43403805621465047,0.9430833333333334
35,0.5349442400534947,0.9012688295211546,0.43304630597432453,0.9428333333333333
36,0.5404487278461456,0.8978717276829635,0.42920529635747273,0.94325
37,0.5397785284121831,0.8982500459478051,0.42748872518539427,0.9448333333333333
38,0.5196331086953481,0.9067678333639579,0.4409562414487203,0.9449166666666666
39,0.527610503633817,0.9023214999844013,0.42324436696370443,0.9455833333333333
40,0.518372112751007,0.9070381492412368,0.41754193091392516,0.94825
41,0.52370960354805,0.9053571010939702,0.41924411853154503,0.9478333333333333
42,0.5245120275815328,0.9046330243595923,0.4167950929005941,0.94775
43,0.5049810911019643,0.9123904014390256,0.4325496088663737,0.947
44,0.49926831618944806,0.9166510255695138,0.41916063459714253,0.948
45,0.5097378820578258,0.9088991666734249,0.42023894691467284,0.9475833333333333
46,0.5204422865311304,0.9051333813967964,0.41822905747095745,0.9489166666666666
47,0.5011799195210139,0.9137393789524616,0.4182305696805318,0.9488333333333333
48,0.5022452741861343,0.9129438914370518,0.4188053191502889,0.94925
49,0.49925303892294565,0.9155658409908662,0.4193043707211812,0.94925
50,0.5161870214541753,0.9080469492293425,0.4197171109517415,0.9491666666666667
