epoch,train_loss,train_acc,val_loss,val_acc
1,0.9559839631707865,0.6738351254480287,0.19049630899514472,0.9214285714285714
2,0.10507739107641909,0.967741935483871,1.0121577552386694,0.5642857142857143
3,0.0548959314475991,0.982078853046595,0.32968700357845854,0.9357142857142857
4,0.07009692501116505,0.9767025089605734,0.1038195558690599,0.9642857142857143
5,0.07862533039770567,0.978494623655914,0.8098406621388027,0.6857142857142857
6,0.12236257715778272,0.9498207885304659,1.2296331099101476,0.5357142857142857
7,0.1246696796508566,0.978494623655914,1.104736634663173,0.5857142857142857
8,0.090122804806758,0.9731182795698925,2.075352770941598,0.4142857142857143
9,0.06701844353829661,0.978494623655914,0.08139710660491671,0.9714285714285714
10,0.1330371542990635,0.96415770609319,1.441086266721998,0.7571428571428571
11,0.09494490554976848,0.9695340501792115,1.472048214503697,0.4142857142857143
12,0.11531703812353927,0.9587813620071685,1.9538734640393938,0.4142857142857143
13,0.04286141010204924,0.992831541218638,0.7332232594490051,0.5142857142857142
14,0.07694902347140414,0.974910394265233,0.6474765028272357,0.6428571428571429
15,0.09145777293324044,0.978494623655914,0.12134678289294243,0.9642857142857143
16,0.08968513459301017,0.9713261648745519,0.5315686592033931,0.8285714285714286
17,0.08468434229279505,0.9802867383512545,0.08585697319358587,0.9714285714285714
18,0.0580840042899079,0.9874551971326165,0.11380462574639491,0.9642857142857143
19,0.07752407782821245,0.9767025089605734,0.5571581891604832,0.6928571428571428
20,0.044271541393852684,0.992831541218638,1.8098212821143014,0.4142857142857143
21,0.056480521135913425,0.9838709677419355,1.1729071310588293,0.4142857142857143
22,0.0725418794766656,0.982078853046595,0.2651968885745321,0.8928571428571429
23,0.036229432857592045,0.9910394265232975,0.5678995975426265,0.6714285714285714
24,0.04451872008822618,0.989247311827957,0.08770392143300601,0.9714285714285714
25,0.04319487360646568,0.9874551971326165,0.22803854090826853,0.9214285714285714
26,0.04003139100985528,0.9910394265232975,0.7761110067367554,0.6
27,0.04565353323138022,0.9874551971326165,0.197740695306233,0.9071428571428571
28,0.06022159653585604,0.9874551971326165,4.1712565422058105,0.4142857142857143
29,0.06539442156705218,0.982078853046595,0.1718220625604902,0.9857142857142858
30,0.04123840484214032,0.9874551971326165,0.18931845815054008,0.9285714285714286
