epoch,train_loss,train_acc,val_loss,val_acc
1,1486.626825095051,0.5020833333333333,0.7644097440772586,0.5083333333333333
2,0.7250892486837175,0.4909722222222222,0.6956263615025414,0.49166666666666664
3,0.7289875480863783,0.4979166666666667,0.7046139438947042,0.5083333333333333
4,22.792422997454803,0.5020833333333333,0.8565570811430613,0.5083333333333333
5,2.6828457506166563,0.4951388888888889,0.6941753294732835,0.49444444444444446
6,0.69571842915482,0.5055555555555555,0.7051055166456435,0.5083333333333333
7,0.698880646791723,0.49722222222222223,0.6947377290990617,0.5083333333333333
8,0.7006960188349088,0.5048611111111111,0.7450405458609263,0.5083333333333333
9,0.6973035650120841,0.5020833333333333,0.6913930111461215,0.49444444444444446
10,0.6906477138400078,0.5402777777777777,0.6930638055006663,0.49166666666666664
11,0.6951091546151373,0.5055555555555555,0.6893187993102603,0.5
12,0.6919020364681879,0.5361111111111111,0.6866771810584598,0.5361111111111111
13,0.6900005704826779,0.5402777777777777,0.6863632831308577,0.5361111111111111
14,0.693104074233108,0.5284722222222222,0.6888665854930878,0.5055555555555555
15,0.70198571930329,0.5118055555555555,0.6974299583170149,0.5027777777777778
16,0.740029008852111,0.51875,0.6943199965688918,0.5027777777777778
17,0.6970827869243093,0.5125,0.6930134726895226,0.475
18,0.7006469310985671,0.4979166666666667,0.6945198939906226,0.49166666666666664
19,0.6992968072493871,0.4895833333333333,0.6922460827562544,0.5277777777777778
20,0.6960124547282854,0.49444444444444446,0.691789706548055,0.5083333333333333
21,0.6930199513832728,0.4979166666666667,0.6917949186431037,0.5138888888888888
22,0.6926589922772514,0.5319444444444444,0.6923503279685974,0.49444444444444446
23,0.6925345791710747,0.5055555555555555,0.6877969106038412,0.5222222222222223
24,0.6938264005713992,0.5145833333333333,0.6914941900306277,0.5083333333333333
25,0.6966941927870115,0.5097222222222222,0.6917116443316141,0.5222222222222223
26,0.8383192792534828,0.5097222222222222,0.6940188540352715,0.49166666666666664
27,0.7123595683111085,0.4895833333333333,0.7066878510846032,0.5083333333333333
28,0.7030067667365074,0.49583333333333335,0.6933468182881674,0.5083333333333333
29,0.6948843109938834,0.49236111111111114,0.6930995947784848,0.5083333333333333
30,0.6937810464037789,0.4826388888888889,0.6926593780517578,0.5638888888888889
